,x,y,z,label
0,-1.2862585316774013,-2.578259935366085,-2.1507896478694026,0
1,-1.2862585316774013,-2.5369348195555754,-2.088080369144205,0
2,-1.25048476401377,-2.545199842717677,-2.1272736683474536,0
3,-1.2147109963501384,-2.5534648658797794,-2.111596348666154,0
4,-1.1908618179077173,-2.561729889041881,-2.0567257297816064,0
5,-1.25048476401377,-2.5369348195555754,-2.095919028984855,0
6,-1.3339568885622435,-2.5865249585281873,-2.1037576888255045,0
7,-1.345881477783454,-2.5699949122039834,-2.1037576888255045,0
8,-1.2862585316774013,-2.5534648658797794,-2.1586283077100523,0
9,-1.1908618179077173,-2.5121397500692693,-2.0724030494629058,0
10,-1.2981831208986119,-2.561729889041881,-2.1507896478694026,0
11,-1.2266355855713489,-2.561729889041881,-2.1507896478694026,0
12,-1.2743339424561908,-2.5699949122039834,-2.095919028984855,0
13,-1.2027864071289278,-2.5369348195555754,-2.088080369144205,0
14,-1.2385601747925594,-2.5865249585281873,-2.1037576888255045,0
15,-1.2981831208986119,-2.545199842717677,-2.064564389622256,0
16,-1.2981831208986119,-2.561729889041881,-2.1272736683474536,0
17,-1.2862585316774013,-2.5699949122039834,-2.1351123281881033,0
18,-1.2624093532349805,-2.5534648658797794,-2.119435008506804,0
19,-1.322032299341033,-2.561729889041881,-2.1037576888255045,0
20,-1.2624093532349805,-2.578259935366085,-2.095919028984855,0
21,-1.2266355855713489,-2.5699949122039834,-2.1037576888255045,0
22,-1.25048476401377,-2.561729889041881,-2.1272736683474536,0
23,-1.2743339424561908,-2.5369348195555754,-2.1351123281881033,0
24,-1.2147109963501384,-2.5699949122039834,-2.0802417093035555,0
25,-1.25048476401377,-2.5699949122039834,-2.142950988028753,0
26,-1.2862585316774013,-2.5534648658797794,-2.111596348666154,0
27,-1.2981831208986119,-2.545199842717677,-2.111596348666154,0
28,-1.2266355855713489,-2.5699949122039834,-2.1037576888255045,0
29,-1.2981831208986119,-2.545199842717677,-2.0724030494629058,0
30,-1.2862585316774013,-2.5286697963934732,-2.095919028984855,0
31,-1.2862585316774013,-2.5204047732313715,-2.1351123281881033,0
32,-1.2862585316774013,-2.5369348195555754,-2.119435008506804,0
33,-1.2743339424561908,-2.545199842717677,-2.142950988028753,0
34,-1.2624093532349805,-2.545199842717677,-2.119435008506804,0
35,-1.2385601747925594,-2.578259935366085,-2.119435008506804,0
36,-1.2743339424561908,-2.545199842717677,-2.111596348666154,0
37,-1.322032299341033,-2.5865249585281873,-2.1037576888255045,0
38,-1.2981831208986119,-2.4956097037450653,-2.111596348666154,0
39,-1.2027864071289278,-2.5699949122039834,-2.111596348666154,0
40,-1.2624093532349805,-2.561729889041881,-2.0724030494629058,0
41,-1.3101077101198224,-2.5369348195555754,-2.1037576888255045,0
42,-1.3101077101198224,-2.545199842717677,-2.1586283077100523,0
43,-1.2981831208986119,-2.561729889041881,-2.0488870699409567,0
44,-1.2266355855713489,-2.5699949122039834,-2.0802417093035555,0
45,-1.2266355855713489,-2.578259935366085,-2.0724030494629058,0
46,-1.2862585316774013,-2.5534648658797794,-2.111596348666154,0
47,-1.2385601747925594,-2.545199842717677,-2.1037576888255045,0
48,-1.2385601747925594,-2.5369348195555754,-2.1507896478694026,0
49,-1.2624093532349805,-2.578259935366085,-2.088080369144205,0
50,-1.345881477783454,-2.545199842717677,-2.088080369144205,0
51,-1.2743339424561908,-2.5534648658797794,-2.1351123281881033,0
52,-1.2862585316774013,-2.545199842717677,-2.1037576888255045,0
53,-1.2624093532349805,-2.5369348195555754,-2.1272736683474536,0
54,-1.3101077101198224,-2.561729889041881,-2.0724030494629058,0
55,-1.2624093532349805,-2.578259935366085,-2.1037576888255045,0
56,-1.2147109963501384,-2.578259935366085,-2.1037576888255045,0
57,-1.2624093532349805,-2.5369348195555754,-2.1037576888255045,0
58,-1.2624093532349805,-2.5534648658797794,-2.0802417093035555,0
59,-1.2385601747925594,-2.545199842717677,-2.1037576888255045,0
60,-1.2266355855713489,-2.5286697963934732,-2.1351123281881033,0
61,-1.2266355855713489,-2.545199842717677,-2.095919028984855,0
62,-1.3101077101198224,-2.5534648658797794,-2.111596348666154,0
63,-1.2385601747925594,-2.594789981690289,-2.111596348666154,0
64,-1.2624093532349805,-2.5204047732313715,-2.111596348666154,0
65,-1.2743339424561908,-2.5534648658797794,-2.1586283077100523,0
66,-1.2624093532349805,-2.545199842717677,-2.1037576888255045,0
67,-1.2981831208986119,-2.5369348195555754,-2.142950988028753,0
68,-1.2027864071289278,-2.5286697963934732,-2.142950988028753,0
69,-1.2624093532349805,-2.545199842717677,-2.111596348666154,0
70,-1.25048476401377,-2.561729889041881,-2.111596348666154,0
71,-1.2862585316774013,-2.545199842717677,-2.119435008506804,0
72,-1.2027864071289278,-2.594789981690289,-2.088080369144205,0
73,-1.2266355855713489,-2.5369348195555754,-2.111596348666154,0
74,-1.2027864071289278,-2.545199842717677,-2.0724030494629058,0
75,-1.2027864071289278,-2.545199842717677,-2.1272736683474536,0
76,-1.2266355855713489,-2.5369348195555754,-2.1507896478694026,0
77,-1.3101077101198224,-2.611320028014493,-2.088080369144205,0
78,-1.25048476401377,-2.5534648658797794,-2.111596348666154,0
79,-1.2981831208986119,-2.578259935366085,-2.0724030494629058,0
80,-1.2743339424561908,-2.5121397500692693,-2.1037576888255045,0
81,-1.2624093532349805,-2.545199842717677,-2.1351123281881033,0
82,-1.3578060670046646,-2.578259935366085,-2.1037576888255045,0
83,-1.322032299341033,-2.611320028014493,-2.1351123281881033,0
84,-1.25048476401377,-2.5369348195555754,-2.119435008506804,0
85,-1.3101077101198224,-2.5699949122039834,-2.111596348666154,0
86,-1.1908618179077173,-2.5699949122039834,-2.142950988028753,0
87,-1.2266355855713489,-2.545199842717677,-2.111596348666154,0
88,-1.2147109963501384,-2.545199842717677,-2.119435008506804,0
89,-1.25048476401377,-2.545199842717677,-2.0724030494629058,0
90,-1.2027864071289278,-2.5699949122039834,-2.095919028984855,0
91,-1.2624093532349805,-2.5204047732313715,-2.119435008506804,0
92,-1.2624093532349805,-2.5534648658797794,-2.1272736683474536,0
93,-1.2981831208986119,-2.5121397500692693,-2.095919028984855,0
94,-1.2147109963501384,-2.5699949122039834,-2.119435008506804,0
95,-1.2624093532349805,-2.561729889041881,-2.1037576888255045,0
96,-1.2624093532349805,-2.578259935366085,-2.1351123281881033,0
97,-1.2385601747925594,-2.545199842717677,-2.088080369144205,0
98,-1.2981831208986119,-2.5369348195555754,-2.1272736683474536,0
99,-1.2385601747925594,-2.5286697963934732,-2.1351123281881033,0
100,-1.2385601747925594,-2.5699949122039834,-2.0802417093035555,0
101,-1.2385601747925594,-2.5865249585281873,-2.111596348666154,0
102,-1.2385601747925594,-2.636115097500799,-2.119435008506804,0
103,-1.2981831208986119,-2.5204047732313715,-2.142950988028753,0
104,-1.2743339424561908,-2.5534648658797794,-2.1507896478694026,0
105,-1.2624093532349805,-2.5369348195555754,-2.1507896478694026,0
106,-1.2385601747925594,-2.561729889041881,-2.142950988028753,0
107,-1.2743339424561908,-2.5534648658797794,-2.088080369144205,0
108,-1.2743339424561908,-2.561729889041881,-2.1272736683474536,0
109,-1.322032299341033,-2.5534648658797794,-2.1351123281881033,0
110,-1.25048476401377,-2.5534648658797794,-2.1037576888255045,0
111,-1.2027864071289278,-2.545199842717677,-2.119435008506804,0
112,-1.2624093532349805,-2.561729889041881,-2.1586283077100523,0
113,-1.25048476401377,-2.5534648658797794,-2.1037576888255045,0
114,-1.2743339424561908,-2.5369348195555754,-2.1272736683474536,0
115,-1.345881477783454,-2.5865249585281873,-2.1351123281881033,0
116,-1.2981831208986119,-2.5699949122039834,-2.111596348666154,0
117,-1.3339568885622435,-2.545199842717677,-2.111596348666154,0
118,-1.2624093532349805,-2.5369348195555754,-2.111596348666154,0
119,-1.2147109963501384,-2.545199842717677,-2.095919028984855,0
120,-1.2743339424561908,-2.5865249585281873,-2.1037576888255045,0
121,-1.25048476401377,-2.545199842717677,-2.111596348666154,0
122,-1.25048476401377,-2.5369348195555754,-2.1351123281881033,0
123,-1.2981831208986119,-2.561729889041881,-2.1037576888255045,0
124,-1.25048476401377,-2.5699949122039834,-2.1351123281881033,0
125,-1.2743339424561908,-2.5699949122039834,-2.1037576888255045,0
