,x,y,z,label
0,-1.1034706056533699,-2.468526151487645,-2.409738999913775,0
1,-1.1351522309251276,-2.405281175450476,-2.321544664942915,0
2,-1.0612284386243596,-2.468526151487645,-2.3616329990205784,0
3,-1.050667896867107,-2.484337395496937,-2.3295623317584475,0
4,-1.0929100638961173,-2.4527149074783523,-2.313526998127382,0
5,-1.1245916891678749,-2.508054261510875,-2.369650665836111,0
6,-1.0929100638961173,-2.500148639506229,-2.3937036662827094,0
7,-1.0929100638961173,-2.43690366346906,-2.3856859994671766,0
8,-1.0929100638961173,-2.413186797455122,-2.345597665389513,0
9,-1.1351522309251276,-2.492243017501583,-2.369650665836111,0
10,-1.0717889803816123,-2.421092419459768,-2.4257743335448403,0
11,-1.1245916891678749,-2.4527149074783523,-2.3616329990205784,0
12,-1.1457127726823801,-2.460620529482999,-2.3536153322050457,0
13,-1.050667896867107,-2.39737555344583,-2.3616329990205784,0
14,-1.1034706056533699,-2.4527149074783523,-2.369650665836111,0
15,-1.1140311474106224,-2.4527149074783523,-2.369650665836111,0
16,-1.0929100638961173,-2.500148639506229,-2.3616329990205784,0
17,-1.0823495221388648,-2.428998041464414,-2.3295623317584475,0
18,-1.0929100638961173,-2.421092419459768,-2.3616329990205784,0
19,-1.1034706056533699,-2.468526151487645,-2.313526998127382,0
20,-1.0823495221388648,-2.4527149074783523,-2.289473997680784,0
21,-1.1562733144396327,-2.4448092854737062,-2.3616329990205784,0
22,-1.1245916891678749,-2.500148639506229,-2.345597665389513,0
23,-1.1457127726823801,-2.4448092854737062,-2.3055093313118493,0
24,-1.1140311474106224,-2.4448092854737062,-2.401721333098242,0
25,-1.1245916891678749,-2.43690366346906,-2.3055093313118493,0
26,-1.1245916891678749,-2.43690366346906,-2.3856859994671766,0
27,-1.1140311474106224,-2.43690366346906,-2.369650665836111,0
28,-1.1245916891678749,-2.4448092854737062,-2.313526998127382,0
29,-1.0823495221388648,-2.43690366346906,-2.377668332651644,0
30,-1.0823495221388648,-2.468526151487645,-2.345597665389513,0
31,-1.1879549397113902,-2.468526151487645,-2.345597665389513,0
32,-1.1034706056533699,-2.413186797455122,-2.313526998127382,0
33,-1.0929100638961173,-2.492243017501583,-2.377668332651644,0
34,-1.0823495221388648,-2.421092419459768,-2.369650665836111,0
35,-1.1351522309251276,-2.460620529482999,-2.3295623317584475,0
36,-1.1457127726823801,-2.476431773492291,-2.3375799985739802,0
37,-1.1034706056533699,-2.460620529482999,-2.377668332651644,0
38,-1.1562733144396327,-2.421092419459768,-2.3616329990205784,0
39,-1.029546813352602,-2.460620529482999,-2.3536153322050457,0
40,-1.1245916891678749,-2.484337395496937,-2.281456330865251,0
41,-1.0823495221388648,-2.476431773492291,-2.313526998127382,0
42,-1.1245916891678749,-2.468526151487645,-2.3856859994671766,0
43,-1.1140311474106224,-2.476431773492291,-2.369650665836111,0
44,-1.1140311474106224,-2.43690366346906,-2.3536153322050457,0
45,-1.1034706056533699,-2.413186797455122,-2.3295623317584475,0
46,-1.1457127726823801,-2.468526151487645,-2.345597665389513,0
47,-1.0823495221388648,-2.421092419459768,-2.3536153322050457,0
48,-1.0823495221388648,-2.4448092854737062,-2.3937036662827094,0
49,-1.0823495221388648,-2.4448092854737062,-2.2654209972341857,0
50,-1.1034706056533699,-2.484337395496937,-2.3616329990205784,0
51,-1.0717889803816123,-2.421092419459768,-2.3616329990205784,0
52,-1.1034706056533699,-2.460620529482999,-2.3295623317584475,0
53,-1.0823495221388648,-2.460620529482999,-2.401721333098242,0
54,-1.0823495221388648,-2.468526151487645,-2.313526998127382,0
55,-1.1245916891678749,-2.508054261510875,-2.3536153322050457,0
56,-1.1457127726823801,-2.4448092854737062,-2.369650665836111,0
57,-1.0823495221388648,-2.476431773492291,-2.3616329990205784,0
58,-1.1034706056533699,-2.428998041464414,-2.321544664942915,0
59,-1.1034706056533699,-2.43690366346906,-2.369650665836111,0
60,-1.1245916891678749,-2.484337395496937,-2.345597665389513,0
61,-1.0929100638961173,-2.421092419459768,-2.3536153322050457,0
62,-1.1351522309251276,-2.4448092854737062,-2.3616329990205784,0
63,-1.1351522309251276,-2.476431773492291,-2.313526998127382,0
64,-1.0612284386243596,-2.43690366346906,-2.3536153322050457,0
65,-1.0929100638961173,-2.4448092854737062,-2.3536153322050457,0
66,-1.1245916891678749,-2.43690366346906,-2.3375799985739802,0
67,-1.1457127726823801,-2.43690366346906,-2.321544664942915,0
68,-1.0823495221388648,-2.468526151487645,-2.3616329990205784,0
69,-1.1140311474106224,-2.4527149074783523,-2.369650665836111,0
70,-1.1034706056533699,-2.460620529482999,-2.2173149963409893,0
71,-1.1140311474106224,-2.428998041464414,-2.610180670302093,0
72,-0.9873046463235917,-2.468526151487645,-2.289473997680784,0
73,-1.1879549397113902,-2.484337395496937,-2.4257743335448403,0
74,-1.1245916891678749,-2.4527149074783523,-2.281456330865251,0
75,-1.1351522309251276,-2.500148639506229,-2.3937036662827094,0
76,-1.050667896867107,-2.460620529482999,-2.3616329990205784,0
77,-1.0929100638961173,-2.476431773492291,-2.369650665836111,0
78,-1.0717889803816123,-2.500148639506229,-2.369650665836111,0
79,-1.1034706056533699,-2.460620529482999,-2.321544664942915,0
80,-1.050667896867107,-2.476431773492291,-2.369650665836111,0
81,-1.1034706056533699,-2.547582371534106,-2.3856859994671766,0
82,-1.1140311474106224,-2.468526151487645,-2.3616329990205784,0
83,-1.1562733144396327,-2.500148639506229,-2.369650665836111,0
84,-1.0929100638961173,-2.468526151487645,-2.3295623317584475,0
85,-1.0823495221388648,-2.43690366346906,-2.3937036662827094,0
86,-1.050667896867107,-2.484337395496937,-2.3616329990205784,0
87,-1.1140311474106224,-2.468526151487645,-2.345597665389513,0
88,-1.1245916891678749,-2.484337395496937,-2.313526998127382,0
89,-1.0717889803816123,-2.460620529482999,-2.3536153322050457,0
90,-1.1457127726823801,-2.476431773492291,-2.401721333098242,0
91,-1.0717889803816123,-2.43690366346906,-2.3295623317584475,0
92,-1.1879549397113902,-2.468526151487645,-2.369650665836111,0
93,-1.1562733144396327,-2.492243017501583,-2.3536153322050457,0
94,-1.1140311474106224,-2.4527149074783523,-2.321544664942915,0
95,-1.1140311474106224,-2.4527149074783523,-2.3616329990205784,0
96,-1.1140311474106224,-2.460620529482999,-2.345597665389513,0
97,-1.1245916891678749,-2.43690366346906,-2.3536153322050457,0
98,-1.1034706056533699,-2.468526151487645,-2.3375799985739802,0
99,-1.1140311474106224,-2.421092419459768,-2.377668332651644,0
100,-1.0823495221388648,-2.4448092854737062,-2.345597665389513,0
101,-1.1034706056533699,-2.476431773492291,-2.3937036662827094,0
102,-1.0823495221388648,-2.492243017501583,-2.2974916644963166,0
103,-1.1562733144396327,-2.468526151487645,-2.3536153322050457,0
104,-1.0823495221388648,-2.468526151487645,-2.3536153322050457,0
105,-1.1245916891678749,-2.476431773492291,-2.3937036662827094,0
106,-1.0717889803816123,-2.468526151487645,-2.321544664942915,0
